country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Kiribati,73.4,,,,,64.7,,,,,55.7,54.5,52.7,51.2,49.8,48.3,47
Kuwait,24.8,,,,,24.4,,,,,22.8,22.6,22.5,22.5,22.5,22.5,22.5
Kyrgyz Republic,27.3,,,,,27.2,,,,,26.6,26.6,26.7,26.5,26.6,26.5,26.5
Lao,42.7,,,,,37.3,,,,,33.1,32.3,31.5,31.1,30.2,29.5,28.9
Latvia,38.8,,,,,38.2,,,,,37.5,37.5,37.3,37.3,37.3,37,37
Lebanon,37.5,,,,,36.1,,,,,35.1,34.7,34.8,34.2,34.2,33.9,33.8
Lesotho,17.6,,,,,20,,,,,22.7,23.3,24,24.4,25.3,26,26.7
Liberia,13.8,,,,,12.1,,,,,10.8,10.7,10.5,10.3,10.1,9.9,9.8
Lithuania,35.9,,,,,33.4,,,,,31.1,30.7,30.3,29.9,29.6,29.2,28.8
Luxembourg,34.7,,,,,30.7,,,,,27,26.4,25.8,25.2,24.6,24.1,23.5
Malawi,21,,,,,18.6,,,,,16.5,16.1,15.7,15.3,15.2,14.7,14.5
Malaysia,28.2,,,,,25.8,,,,,23.7,23.3,22.9,22.5,22,21.8,21.5
Maldives,37.1,,,,,33.4,,,,,30.8,30.2,29.9,29.5,29.1,28.7,28.3
Mali,13,,,,,12.6,,,,,12.5,12.4,12.3,12.3,12.4,12.3,12.3
Malta,35.3,,,,,31.7,,,,,28.7,28.1,27.7,27,26.5,26,25.5
Mauritius,25,,,,,23.8,,,,,22.6,22.6,22.4,22.2,22,21.8,21.6
Mexico,24,,,,,20.3,,,,,17.1,16.6,16,15.5,15,14.5,14
Moldova,23.3,,,,,23.5,,,,,23.9,24,24,24.2,24.2,24.2,24.2
Mongolia,32.2,,,,,29.8,,,,,27.8,27.4,27,26.6,26.3,26.2,25.6
Montenegro,52.7,,,,,50.2,,,,,48.3,47.8,47.4,47,46.7,46.1,45.9
Morocco,18.7,,,,,19.2,,,,,20.6,21,21.4,21.9,22.3,22.9,23.4
Mozambique,23.4,,,,,20.9,,,,,18.7,18.3,17.9,17.5,17.1,16.9,16.6
Myanmar,32.5,,,,,27.7,,,,,23.9,23.2,22.6,21.9,21.4,20.8,20.3
Namibia,22.3,,,,,21.8,,,,,21.5,21.5,21.4,21.4,21.4,21.5,21.4
Nauru,63.8,,,,,54.7,,,,,47.2,45.9,44.6,43.3,42.2,41,40
Nepal,38.9,,,,,32.2,,,,,27.1,26.2,25.3,24.6,24,23.3,22.8
Netherlands,37.7,,,,,33.2,,,,,29.7,28.9,28.4,27.7,27,26.4,25.8
New Zealand,29.4,,,,,24.2,,,,,20,19.2,18.5,17.8,17.2,16.5,16
Niger,6.4,,,,,6.7,,,,,7.1,7.2,7.3,7.4,7.5,7.6,7.7
Nigeria,7.7,,,,,7,,,,,6.3,6.2,6.1,6.1,5.9,5.8,5.8
Norway,43.1,,,,,34.1,,,,,26.9,25.5,24.4,23.3,22.2,21.2,20.2
Oman,8.2,,,,,8.5,,,,,9.4,9.8,10.2,10.6,10.8,11.1,11.1
Pakistan,24.5,,,,,22.7,,,,,21.3,21.1,20.9,20.7,20.5,20.3,20.1
Palau,29.6,,,,,24,,,,,19.7,19,18.2,17.5,16.8,16.1,15.6
Panama,15,,,,,11.2,,,,,8.5,8.1,7.6,7.2,6.8,6.5,6.1
