country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Dominican Republic,4.12,,,,,3.97,,,,,3.89,,,,,3.9,,,,,4,,,,,4.22,,,,,4.55,,,,,4.98,,,,,6.07,,,,,6.82,,,,,7.51,,,,,7.99,,,,,8.68,,,,,9.71,,,,,11.1,,,,,12.7,,,,,14.3,,,,,15.9,,,,,17.5,,,,,19.3,,,,,21.2,,,,,23.2,,,,,24.9,,,,,26.8,,,,,28.7,,,,,30.6,,,,,32.2,,,,,33.7,,,,,35,,,,,36,,,,,36.9
Ecuador,7.54,,,,,6.97,,,,,6.45,,,,,6.08,,,,,5.73,,,,,5.57,,,,,5.42,,,,,5.4,,,,,6.26,,,,,6.65,,,,,7.23,,,,,8,,,,,8.69,,,,,9.93,,,,,11.3,,,,,12.8,,,,,14.5,,,,,16.2,,,,,18,,,,,19.8,,,,,21.8,,,,,23.7,,,,,25.6,,,,,27.2,,,,,28.9,,,,,30.5,,,,,31.9,,,,,33.3,,,,,34.5,,,,,35.5,,,,,36.4
Egypt,5.06,,,,,5.6,,,,,5.88,,,,,6.02,,,,,6.11,,,,,6.21,,,,,6.25,,,,,6.32,,,,,7.01,,,,,7.18,,,,,7.19,,,,,7.06,,,,,7.53,,,,,7.71,,,,,8.25,,,,,9.01,,,,,9.88,,,,,10.9,,,,,12.2,,,,,13.8,,,,,15.4,,,,,16.4,,,,,17,,,,,17.7,,,,,18.7,,,,,20.7,,,,,22.4,,,,,23.7,,,,,24.9,,,,,26.3,,,,,27.7
El Salvador,5.64,,,,,5.11,,,,,4.86,,,,,4.74,,,,,4.67,,,,,4.72,,,,,4.98,,,,,5.44,,,,,6.55,,,,,7.31,,,,,8.21,,,,,9.12,,,,,10,,,,,11.1,,,,,12.2,,,,,13.5,,,,,14.9,,,,,16.5,,,,,18.2,,,,,19.9,,,,,22.1,,,,,25.3,,,,,28.6,,,,,31,,,,,32.9,,,,,34.7,,,,,36.5,,,,,38,,,,,39.1,,,,,39.8,,,,,40.4
Equatorial Guinea,8.37,,,,,7.8,,,,,7.35,,,,,6.9,,,,,6.52,,,,,6.37,,,,,6.27,,,,,6.12,,,,,6.42,,,,,6.18,,,,,5.72,,,,,5.27,,,,,4.78,,,,,4.56,,,,,4.23,,,,,4.02,,,,,4.19,,,,,4.28,,,,,4.41,,,,,5.1,,,,,6.64,,,,,8.61,,,,,10.7,,,,,12.4,,,,,14,,,,,15.5,,,,,17,,,,,18.5,,,,,19.9,,,,,21.4,,,,,22.9
Eritrea,4.89,,,,,4.49,,,,,4.2,,,,,4.03,,,,,3.97,,,,,4,,,,,4.08,,,,,4.18,,,,,4.6,,,,,5.13,,,,,5.43,,,,,5.45,,,,,5.53,,,,,5.33,,,,,5.2,,,,,5.15,,,,,5.2,,,,,5.51,,,,,6.43,,,,,7.97,,,,,9.54,,,,,10.6,,,,,11.7,,,,,13.2,,,,,15.1,,,,,16.8,,,,,18.4,,,,,19.8,,,,,21.3,,,,,22.9,,,,,24.5
Estonia,13,,,,,12.9,,,,,13.7,,,,,14.4,,,,,15,,,,,15.2,,,,,13.9,,,,,13.8,,,,,17.2,,,,,19.2,,,,,21.1,,,,,21.9,,,,,23.2,,,,,25.1,,,,,26.9,,,,,28.5,,,,,29.6,,,,,31.4,,,,,32.8,,,,,34.5,,,,,36.6,,,,,36.9,,,,,35.8,,,,,35.2,,,,,35.9,,,,,36.1,,,,,36.4,,,,,36.6,,,,,36.6,,,,,36.6,,,,,36.9
Ethiopia,4.59,,,,,4.26,,,,,4.06,,,,,4.19,,,,,4.3,,,,,4.36,,,,,4.76,,,,,4.59,,,,,4.88,,,,,4.95,,,,,4.79,,,,,4.85,,,,,5.11,,,,,5.23,,,,,5.41,,,,,5.61,,,,,6.02,,,,,6.65,,,,,7.43,,,,,8.58,,,,,9.9,,,,,11.7,,,,,13.8,,,,,16,,,,,18,,,,,19.9,,,,,21.9,,,,,23.7,,,,,25.5,,,,,27.1,,,,,28.6
Fiji,4.05,,,,,3.26,,,,,3.22,,,,,3.24,,,,,3.55,,,,,4.01,,,,,4.17,,,,,4.22,,,,,4.75,,,,,4.98,,,,,5.66,,,,,6.89,,,,,7.91,,,,,9.25,,,,,11,,,,,12.8,,,,,13.9,,,,,14.8,,,,,16.1,,,,,17.7,,,,,18.9,,,,,20.2,,,,,21.1,,,,,22.3,,,,,24.1,,,,,25.8,,,,,27.2,,,,,28.4,,,,,29.6,,,,,30.7,,,,,31.8
Finland,9.4,,,,,9.59,,,,,10.4,,,,,11.5,,,,,13.1,,,,,14.2,,,,,14.6,,,,,15.2,,,,,18.5,,,,,19,,,,,20,,,,,21.5,,,,,24.8,,,,,27.1,,,,,28.7,,,,,30.2,,,,,31,,,,,31,,,,,31.2,,,,,31.5,,,,,31.7,,,,,32.4,,,,,32.6,,,,,32.8,,,,,33.4,,,,,33.8,,,,,34.4,,,,,34.9,,,,,35.4,,,,,35.8,,,,,36.3
France,14.7,,,,,14.5,,,,,14.7,,,,,15.4,,,,,15.8,,,,,15.9,,,,,14.1,,,,,15,,,,,19.1,,,,,20.2,,,,,20.6,,,,,20.9,,,,,23.1,,,,,25,,,,,26.7,,,,,28.5,,,,,30,,,,,31.2,,,,,31.6,,,,,32,,,,,32.2,,,,,32.1,,,,,32.3,,,,,32.7,,,,,33.2,,,,,33.7,,,,,34.2,,,,,34.6,,,,,35.1,,,,,35.6,,,,,36.1
Gabon,10.4,,,,,10.2,,,,,10,,,,,9.6,,,,,9.09,,,,,8.77,,,,,8.55,,,,,8.28,,,,,8.98,,,,,8.75,,,,,8.34,,,,,7.72,,,,,6.99,,,,,6.41,,,,,6.37,,,,,6.77,,,,,7.65,,,,,8.84,,,,,10.2,,,,,11.8,,,,,13.2,,,,,14.3,,,,,15.2,,,,,16,,,,,17.2,,,,,18.8,,,,,20.5,,,,,21.9,,,,,23.1,,,,,24.3,,,,,25.5
Gambia,4.66,,,,,4.28,,,,,4.02,,,,,4.34,,,,,4.68,,,,,4.8,,,,,4.83,,,,,4.45,,,,,4.17,,,,,4.17,,,,,4.06,,,,,3.98,,,,,3.72,,,,,3.76,,,,,3.91,,,,,4.16,,,,,4.51,,,,,4.76,,,,,5.28,,,,,5.84,,,,,6.4,,,,,7.07,,,,,7.95,,,,,9.02,,,,,10.2,,,,,11.6,,,,,13,,,,,14.3,,,,,15.7,,,,,17,,,,,18.3
Georgia,13.5,,,,,12,,,,,10.5,,,,,10,,,,,10.1,,,,,11,,,,,11,,,,,11.3,,,,,15,,,,,16.2,,,,,18.3,,,,,18.2,,,,,18.8,,,,,20.3,,,,,21.7,,,,,23.6,,,,,24.7,,,,,25.9,,,,,27.1,,,,,28.1,,,,,29.4,,,,,30.5,,,,,30.4,,,,,29.8,,,,,30.3,,,,,31.8,,,,,32.8,,,,,33.4,,,,,33.7,,,,,34.1,,,,,34.7
Germany,13.5,,,,,14.4,,,,,15.6,,,,,16.9,,,,,17.9,,,,,18.3,,,,,16.7,,,,,16.7,,,,,20.4,,,,,20.9,,,,,23.3,,,,,24.9,,,,,26.1,,,,,27.3,,,,,29.2,,,,,32.1,,,,,34.7,,,,,35.5,,,,,35.9,,,,,36.7,,,,,37.6,,,,,38,,,,,37.9,,,,,37.6,,,,,37.4,,,,,37.4,,,,,37.6,,,,,37.9,,,,,38.2,,,,,38.4,,,,,38.7
Ghana,3.93,,,,,3.9,,,,,3.94,,,,,3.99,,,,,4.04,,,,,4.09,,,,,4.15,,,,,4.22,,,,,4.53,,,,,4.75,,,,,4.81,,,,,5.18,,,,,5.39,,,,,5.25,,,,,5.48,,,,,5.91,,,,,6.55,,,,,7.26,,,,,8.06,,,,,8.93,,,,,9.78,,,,,10.6,,,,,11.5,,,,,12.4,,,,,13.4,,,,,14.7,,,,,15.8,,,,,16.9,,,,,17.9,,,,,19,,,,,20.1
Greece,8.76,,,,,9.04,,,,,9.67,,,,,10.8,,,,,13.7,,,,,14.6,,,,,14.6,,,,,14.8,,,,,19.2,,,,,20.8,,,,,22,,,,,22.5,,,,,24,,,,,25.7,,,,,27.8,,,,,30.1,,,,,33.2,,,,,36.2,,,,,39,,,,,41.1,,,,,41.6,,,,,41.6,,,,,41.7,,,,,41.6,,,,,42.1,,,,,42,,,,,41.5,,,,,41,,,,,40.7,,,,,40.6,,,,,40.7
Grenada,6.6,,,,,6.64,,,,,6.86,,,,,6.82,,,,,7.2,,,,,8.05,,,,,8.63,,,,,7.18,,,,,11.2,,,,,10.2,,,,,10.4,,,,,9.93,,,,,9.64,,,,,10.2,,,,,11.3,,,,,13.4,,,,,14.3,,,,,15.5,,,,,17.4,,,,,20.7,,,,,25.1,,,,,27.9,,,,,29.9,,,,,31.1,,,,,32.7,,,,,34.6,,,,,36.5,,,,,37.9,,,,,38.7,,,,,39.2,,,,,39.9
Guatemala,3.99,,,,,3.99,,,,,4.09,,,,,4.19,,,,,4.15,,,,,4.23,,,,,4.33,,,,,4.6,,,,,5.39,,,,,5.64,,,,,5.8,,,,,5.9,,,,,6.07,,,,,6.65,,,,,7.23,,,,,7.8,,,,,8.59,,,,,9.72,,,,,11.3,,,,,13.2,,,,,15.2,,,,,17.6,,,,,20.1,,,,,22.6,,,,,24.6,,,,,26.5,,,,,28.2,,,,,29.9,,,,,31.3,,,,,32.6,,,,,33.8
Guinea,7.45,,,,,6.11,,,,,5.41,,,,,5.16,,,,,5.14,,,,,5.23,,,,,5.3,,,,,5.33,,,,,5.59,,,,,5.56,,,,,5.37,,,,,5.09,,,,,4.91,,,,,5.09,,,,,5.25,,,,,5.41,,,,,5.56,,,,,5.81,,,,,6.24,,,,,6.84,,,,,7.62,,,,,8.54,,,,,9.58,,,,,10.7,,,,,12,,,,,13.3,,,,,14.6,,,,,16,,,,,17.4,,,,,18.8,,,,,20.2
Guinea-Bissau,5.31,,,,,4.84,,,,,4.86,,,,,4.91,,,,,5.42,,,,,5.93,,,,,5.42,,,,,5.09,,,,,4.99,,,,,4.68,,,,,4.54,,,,,4.54,,,,,4.57,,,,,4.89,,,,,4.97,,,,,5.07,,,,,5.25,,,,,5.7,,,,,6.3,,,,,7.18,,,,,8.14,,,,,9.09,,,,,9.9,,,,,10.7,,,,,11.7,,,,,12.9,,,,,14.1,,,,,15.3,,,,,16.4,,,,,17.5,,,,,18.6
Guyana,5.66,,,,,5.31,,,,,4.91,,,,,4.89,,,,,4.89,,,,,4.92,,,,,4.98,,,,,4.58,,,,,5.75,,,,,5.72,,,,,5.98,,,,,5.98,,,,,7.22,,,,,8.11,,,,,9.47,,,,,10.9,,,,,12.4,,,,,13.8,,,,,14.9,,,,,15.5,,,,,15.3,,,,,17.6,,,,,20.1,,,,,22,,,,,23.1,,,,,24.3,,,,,25.6,,,,,26.8,,,,,27.9,,,,,28.8,,,,,29.7
Haiti,5.06,,,,,4.81,,,,,4.99,,,,,5.39,,,,,5.7,,,,,5.93,,,,,5.94,,,,,5.74,,,,,6.08,,,,,6.11,,,,,6.26,,,,,6.42,,,,,6.5,,,,,7.05,,,,,7.66,,,,,8.46,,,,,9.28,,,,,10,,,,,11.3,,,,,13.3,,,,,15.2,,,,,17,,,,,18.7,,,,,20.1,,,,,21.5,,,,,22.7,,,,,23.9,,,,,25.1,,,,,26.1,,,,,27,,,,,27.9
Honduras,5.37,,,,,4.93,,,,,4.84,,,,,4.73,,,,,4.6,,,,,4.58,,,,,4.34,,,,,4.41,,,,,5.03,,,,,5.2,,,,,5.34,,,,,5.47,,,,,5.85,,,,,6.61,,,,,7.53,,,,,8.63,,,,,10,,,,,11.7,,,,,13.7,,,,,16,,,,,18.5,,,,,21.2,,,,,23.9,,,,,26.5,,,,,28.5,,,,,30.1,,,,,31.6,,,,,32.9,,,,,34.1,,,,,35,,,,,35.8
Hungary,11,,,,,11.4,,,,,12.8,,,,,14.3,,,,,15.7,,,,,16.9,,,,,14.9,,,,,16.1,,,,,19,,,,,19.7,,,,,20.2,,,,,21.4,,,,,22.1,,,,,25,,,,,26.8,,,,,27.2,,,,,28.3,,,,,30.5,,,,,33,,,,,34,,,,,34.7,,,,,36,,,,,36.1,,,,,35.9,,,,,35.9,,,,,35.8,,,,,35.8,,,,,35.9,,,,,36.1,,,,,36.3,,,,,36.5
Iceland,9.31,,,,,9.92,,,,,10.2,,,,,10.5,,,,,10.8,,,,,10.9,,,,,11.3,,,,,11.6,,,,,14.6,,,,,15.1,,,,,15,,,,,15.8,,,,,16.9,,,,,19.1,,,,,21.5,,,,,23.8,,,,,25.4,,,,,26.9,,,,,28.1,,,,,29.5,,,,,30.6,,,,,32.1,,,,,32.9,,,,,33.6,,,,,34.7,,,,,35.6,,,,,36.4,,,,,37,,,,,37.6,,,,,38,,,,,38.5
India,5.03,,,,,4.78,,,,,4.96,,,,,5.05,,,,,5.21,,,,,5.35,,,,,5.47,,,,,5.57,,,,,6.14,,,,,6.46,,,,,6.89,,,,,7.27,,,,,7.81,,,,,8.92,,,,,10.1,,,,,11.3,,,,,12.5,,,,,13.8,,,,,15.3,,,,,17.2,,,,,19.1,,,,,21,,,,,22.8,,,,,24.6,,,,,26.2,,,,,27.3,,,,,28.5,,,,,29.5,,,,,30.6,,,,,31.5,,,,,32.2
Indonesia,5.88,,,,,5.59,,,,,5.19,,,,,5.05,,,,,5.14,,,,,5.24,,,,,5.24,,,,,5.32,,,,,6.1,,,,,6.65,,,,,7.36,,,,,7.38,,,,,7.35,,,,,8.12,,,,,9.5,,,,,11.1,,,,,12.9,,,,,14.7,,,,,16.4,,,,,17.9,,,,,19.2,,,,,20.3,,,,,21.4,,,,,22.7,,,,,23.8,,,,,25.2,,,,,26.3,,,,,27.3,,,,,28.1,,,,,28.9,,,,,29.7
Iran,7.63,,,,,6.48,,,,,5.64,,,,,5.21,,,,,4.93,,,,,4.67,,,,,4.53,,,,,4.82,,,,,5.37,,,,,5.87,,,,,6.21,,,,,6.83,,,,,7.13,,,,,8.18,,,,,9.87,,,,,12,,,,,14.5,,,,,17.3,,,,,21.2,,,,,26.9,,,,,32.1,,,,,34.9,,,,,35.7,,,,,36.2,,,,,37.3,,,,,38.8,,,,,39.7,,,,,39.7,,,,,39.3,,,,,39.1,,,,,39.2
Iraq,4.2,,,,,4.66,,,,,5.42,,,,,6.08,,,,,6.29,,,,,6.1,,,,,5.75,,,,,5.34,,,,,5.55,,,,,5.33,,,,,5.18,,,,,5.07,,,,,4.75,,,,,5.02,,,,,4.98,,,,,5.2,,,,,5.95,,,,,6.8,,,,,7.65,,,,,8.4,,,,,9.15,,,,,9.88,,,,,10.7,,,,,11.4,,,,,12.3,,,,,13.4,,,,,14.5,,,,,15.6,,,,,16.8,,,,,17.9,,,,,19.2
Ireland,13.6,,,,,13.2,,,,,13.5,,,,,13.4,,,,,13.3,,,,,13.3,,,,,12.7,,,,,12.5,,,,,14.4,,,,,14.4,,,,,14.5,,,,,14.8,,,,,16.1,,,,,18.4,,,,,20.2,,,,,22.3,,,,,24.2,,,,,26.7,,,,,29,,,,,30.6,,,,,30.8,,,,,30.4,,,,,30.3,,,,,30.8,,,,,31.8,,,,,32.8,,,,,33.5,,,,,34,,,,,34.4,,,,,34.9,,,,,35.6
Israel,5.94,,,,,6.19,,,,,7.04,,,,,8.27,,,,,9.56,,,,,10.7,,,,,10.7,,,,,10.7,,,,,12.2,,,,,13.2,,,,,13.2,,,,,13.2,,,,,14.9,,,,,15.8,,,,,16.5,,,,,17.2,,,,,17.9,,,,,19,,,,,20.1,,,,,20.9,,,,,21.6,,,,,22.2,,,,,23,,,,,24,,,,,25.2,,,,,26.8,,,,,28.1,,,,,29.3,,,,,30.4,,,,,31.6,,,,,32.8
Italy,11,,,,,11.7,,,,,12.5,,,,,13.3,,,,,14.5,,,,,15.5,,,,,15,,,,,16.2,,,,,20.5,,,,,22.3,,,,,24.2,,,,,25.1,,,,,26.9,,,,,28.6,,,,,30.7,,,,,33.6,,,,,36.6,,,,,39.1,,,,,40.4,,,,,40.6,,,,,40.3,,,,,39.8,,,,,39.2,,,,,38.8,,,,,38.7,,,,,38.6,,,,,38.5,,,,,38.6,,,,,38.7,,,,,39,,,,,39.3
Jamaica,5.56,,,,,5.85,,,,,6.14,,,,,7.33,,,,,7.69,,,,,7.72,,,,,7.94,,,,,7.96,,,,,10,,,,,10,,,,,10.4,,,,,10.8,,,,,11.6,,,,,13,,,,,14.7,,,,,16.8,,,,,19,,,,,21.2,,,,,23.3,,,,,25.8,,,,,29,,,,,32.3,,,,,35.5,,,,,37.4,,,,,38.7,,,,,39.5,,,,,41.5,,,,,43.1,,,,,44.2,,,,,44.9,,,,,45.5
Japan,7.22,,,,,7.46,,,,,7.99,,,,,8.76,,,,,9.58,,,,,10.5,,,,,11.5,,,,,12.8,,,,,17.3,,,,,20.2,,,,,23,,,,,26.3,,,,,30.3,,,,,32.8,,,,,34.1,,,,,35.4,,,,,37.2,,,,,39.9,,,,,41.3,,,,,42.1,,,,,42.4,,,,,42.3,,,,,42.3,,,,,41.9,,,,,41.5,,,,,41.1,,,,,40.9,,,,,40.8,,,,,40.8,,,,,40.9,,,,,41.1
Jordan,6.94,,,,,6.55,,,,,5.84,,,,,4.97,,,,,4.51,,,,,4.2,,,,,4.24,,,,,4.6,,,,,4.79,,,,,4.65,,,,,4.91,,,,,5.26,,,,,5.43,,,,,5.52,,,,,6.04,,,,,7.15,,,,,8.72,,,,,10.5,,,,,12.1,,,,,13.8,,,,,15.4,,,,,16.8,,,,,18.2,,,,,19.7,,,,,21.4,,,,,23.4,,,,,25.1,,,,,26.8,,,,,28.3,,,,,29.7,,,,,31.1
Kazakhstan,9.41,,,,,8.37,,,,,7.45,,,,,7.25,,,,,7.34,,,,,7.67,,,,,7.26,,,,,7.24,,,,,9.62,,,,,10,,,,,11.2,,,,,10.1,,,,,9.86,,,,,10.7,,,,,11.8,,,,,13.7,,,,,14.6,,,,,15.6,,,,,16.3,,,,,17.3,,,,,19.2,,,,,20.3,,,,,19.9,,,,,19.6,,,,,20.9,,,,,23.4,,,,,25.1,,,,,26.3,,,,,27.1,,,,,27.9,,,,,28.9
Kenya,5.99,,,,,5.71,,,,,5.52,,,,,5.27,,,,,4.95,,,,,4.57,,,,,4.2,,,,,3.93,,,,,4.17,,,,,4.15,,,,,3.98,,,,,3.75,,,,,3.81,,,,,4.11,,,,,4.5,,,,,4.97,,,,,5.6,,,,,6.53,,,,,7.77,,,,,9.2,,,,,10.6,,,,,11.8,,,,,13.2,,,,,14.8,,,,,16.4,,,,,17.9,,,,,19.4,,,,,20.8,,,,,22.3,,,,,23.8,,,,,25.2
Kiribati,5.52,,,,,5.5,,,,,5.22,,,,,4.89,,,,,4.8,,,,,4.83,,,,,4.86,,,,,5.38,,,,,5.61,,,,,5.41,,,,,5.25,,,,,5.42,,,,,5.44,,,,,6.07,,,,,6.88,,,,,8.1,,,,,9.25,,,,,9.61,,,,,10,,,,,10.8,,,,,11.9,,,,,12.7,,,,,13.7,,,,,13.9,,,,,15,,,,,16.2,,,,,17.3,,,,,18.3,,,,,19.2,,,,,19.9,,,,,20.7
Kuwait,4.27,,,,,3.9,,,,,3.32,,,,,2.62,,,,,2.85,,,,,2.74,,,,,2.27,,,,,2.16,,,,,2.23,,,,,2.49,,,,,2.97,,,,,3.6,,,,,3.42,,,,,4.07,,,,,6.14,,,,,8.45,,,,,12.1,,,,,15.7,,,,,18.2,,,,,19.9,,,,,20.5,,,,,21,,,,,22,,,,,22.6,,,,,23.5,,,,,24.7,,,,,26.1,,,,,27,,,,,27.7,,,,,28.4,,,,,29.2
Kyrgyz Republic,11.5,,,,,10.3,,,,,9.12,,,,,8.55,,,,,7.93,,,,,7.43,,,,,6.68,,,,,6.6,,,,,8.34,,,,,8.03,,,,,8.27,,,,,7.06,,,,,6.44,,,,,7.17,,,,,8.38,,,,,10.2,,,,,11.6,,,,,12.5,,,,,13.3,,,,,14.4,,,,,16.7,,,,,18.3,,,,,19,,,,,19,,,,,20.1,,,,,22.5,,,,,24.3,,,,,25.7,,,,,26.8,,,,,27.9,,,,,29.1
Lao,3.74,,,,,4.09,,,,,4.39,,,,,4.71,,,,,4.89,,,,,5.01,,,,,5.38,,,,,5.38,,,,,5.59,,,,,5.43,,,,,5.44,,,,,5.47,,,,,5.6,,,,,6.11,,,,,6.72,,,,,7.59,,,,,8.65,,,,,9.97,,,,,11.6,,,,,13.6,,,,,16.1,,,,,18.8,,,,,21.2,,,,,23.2,,,,,25.2,,,,,27.1,,,,,28.9,,,,,30.5,,,,,31.8,,,,,33,,,,,33.9
Latvia,13.1,,,,,13.1,,,,,13.2,,,,,14.3,,,,,15.3,,,,,15.6,,,,,14.1,,,,,14.1,,,,,17.6,,,,,19.3,,,,,21.2,,,,,22.5,,,,,23.6,,,,,25.4,,,,,27.5,,,,,29.3,,,,,30.3,,,,,31.7,,,,,32.6,,,,,33.7,,,,,35.3,,,,,35.7,,,,,33.9,,,,,33,,,,,33.6,,,,,34.1,,,,,34.4,,,,,34.6,,,,,34.6,,,,,34.5,,,,,34.7
Lebanon,9.49,,,,,8.63,,,,,7.54,,,,,6.96,,,,,6.76,,,,,6.67,,,,,6.59,,,,,7.09,,,,,9.21,,,,,9.49,,,,,10.4,,,,,10.7,,,,,11.9,,,,,11.5,,,,,13.1,,,,,16.2,,,,,19,,,,,21.1,,,,,23.6,,,,,27.2,,,,,31.2,,,,,35.1,,,,,37.9,,,,,39.4,,,,,39.4,,,,,39.4,,,,,39.3,,,,,39.8,,,,,40.5,,,,,40.8,,,,,40.7
Lesotho,6.52,,,,,6.3,,,,,6.15,,,,,6.09,,,,,6.11,,,,,6,,,,,5.82,,,,,5.85,,,,,6.38,,,,,6.59,,,,,6.5,,,,,6.33,,,,,6.65,,,,,6.74,,,,,6.56,,,,,6.19,,,,,5.9,,,,,5.87,,,,,6.43,,,,,7.74,,,,,9.44,,,,,11.3,,,,,13.1,,,,,14.6,,,,,16,,,,,17.8,,,,,19.6,,,,,21.3,,,,,22.7,,,,,24.1,,,,,25.3
Liberia,4.63,,,,,4.22,,,,,4.08,,,,,4.06,,,,,4.11,,,,,4.24,,,,,4.41,,,,,4.57,,,,,4.86,,,,,4.92,,,,,5.02,,,,,4.9,,,,,4.76,,,,,4.83,,,,,5.02,,,,,5.29,,,,,5.65,,,,,6.15,,,,,6.77,,,,,7.5,,,,,8.22,,,,,8.95,,,,,9.94,,,,,11.2,,,,,12.4,,,,,13.7,,,,,15,,,,,16.3,,,,,17.6,,,,,19,,,,,20.5
Libya,7.53,,,,,6.58,,,,,5.6,,,,,4.94,,,,,4.52,,,,,4.27,,,,,4.21,,,,,4.38,,,,,4.98,,,,,5.37,,,,,5.72,,,,,5.91,,,,,5.97,,,,,6.45,,,,,7.07,,,,,8.45,,,,,11,,,,,14.2,,,,,17.7,,,,,20.5,,,,,22.8,,,,,24.2,,,,,25.1,,,,,26.1,,,,,27.4,,,,,29.1,,,,,30.5,,,,,31.4,,,,,32,,,,,32.5,,,,,32.9
Lithuania,11.8,,,,,11.3,,,,,10.9,,,,,12.1,,,,,13.4,,,,,13.3,,,,,12.3,,,,,12.5,,,,,16.1,,,,,17.5,,,,,19.2,,,,,21.1,,,,,22.4,,,,,24.5,,,,,26.5,,,,,28.6,,,,,29.9,,,,,31,,,,,31.5,,,,,31.8,,,,,32.6,,,,,33.8,,,,,33.8,,,,,33,,,,,32.5,,,,,32.7,,,,,33,,,,,33.5,,,,,33.9,,,,,33.9,,,,,33.9
Luxembourg,13.3,,,,,13.8,,,,,14.6,,,,,15.7,,,,,16.7,,,,,16.7,,,,,15.6,,,,,15.6,,,,,19,,,,,19,,,,,18.8,,,,,19,,,,,19,,,,,19.1,,,,,20.5,,,,,22.4,,,,,24.6,,,,,26.1,,,,,27,,,,,28.2,,,,,28.8,,,,,29.2,,,,,29.7,,,,,30,,,,,30.2,,,,,30.6,,,,,31.2,,,,,31.9,,,,,32.6,,,,,33.3,,,,,34
Madagascar,5.18,,,,,5.22,,,,,5.26,,,,,5.46,,,,,5.68,,,,,5.29,,,,,4.77,,,,,4.56,,,,,4.81,,,,,4.77,,,,,4.58,,,,,4.39,,,,,4.34,,,,,4.65,,,,,5.01,,,,,5.4,,,,,5.86,,,,,6.41,,,,,7.04,,,,,7.7,,,,,8.46,,,,,9.43,,,,,10.6,,,,,11.8,,,,,12.9,,,,,14.1,,,,,15.3,,,,,16.6,,,,,17.9,,,,,19.2,,,,,20.6
Malawi,4.71,,,,,4.46,,,,,4.24,,,,,4.13,,,,,3.85,,,,,3.85,,,,,4.03,,,,,3.95,,,,,4.19,,,,,4.6,,,,,4.43,,,,,4.44,,,,,4.47,,,,,4.31,,,,,4.19,,,,,4.19,,,,,4.38,,,,,4.82,,,,,5.55,,,,,6.48,,,,,7.72,,,,,9.03,,,,,10.4,,,,,11.8,,,,,13.3,,,,,14.7,,,,,16.1,,,,,17.5,,,,,19,,,,,20.4,,,,,21.8
Malaysia,6.69,,,,,5.34,,,,,4.74,,,,,4.51,,,,,4.99,,,,,5.05,,,,,5.18,,,,,5.25,,,,,5.75,,,,,5.86,,,,,6.29,,,,,7.09,,,,,7.88,,,,,9.13,,,,,10.7,,,,,12.3,,,,,13.8,,,,,15.4,,,,,17.2,,,,,19.9,,,,,23.1,,,,,26.1,,,,,28.3,,,,,29.8,,,,,30.7,,,,,31.5,,,,,32.5,,,,,33.5,,,,,34.4,,,,,35,,,,,35.4
Maldives,4.68,,,,,4.39,,,,,4.07,,,,,3.83,,,,,3.95,,,,,4.02,,,,,4.26,,,,,4.42,,,,,4.75,,,,,5.31,,,,,6.1,,,,,6.29,,,,,6.01,,,,,5.97,,,,,7.1,,,,,8.86,,,,,11,,,,,13.5,,,,,16.5,,,,,21.8,,,,,28.4,,,,,33.3,,,,,35.6,,,,,36.4,,,,,37.1,,,,,38.4,,,,,39.4,,,,,39.7,,,,,39.5,,,,,39.2,,,,,39.4
Mali,4.64,,,,,4.2,,,,,4.14,,,,,4.43,,,,,4.84,,,,,5.22,,,,,5.5,,,,,5.58,,,,,5.87,,,,,5.49,,,,,4.98,,,,,4.6,,,,,4.19,,,,,4.02,,,,,3.87,,,,,3.83,,,,,3.99,,,,,4.35,,,,,4.78,,,,,5.21,,,,,5.61,,,,,6.09,,,,,6.73,,,,,7.66,,,,,8.87,,,,,10.1,,,,,11.4,,,,,12.7,,,,,14.2,,,,,15.6,,,,,17.1
Malta,8.7,,,,,8.96,,,,,9.77,,,,,10.8,,,,,12.5,,,,,12.3,,,,,12.4,,,,,12.5,,,,,14.8,,,,,15.9,,,,,16.8,,,,,18.8,,,,,22.9,,,,,25.1,,,,,27.6,,,,,29.3,,,,,30,,,,,31.1,,,,,32.9,,,,,34.8,,,,,36.8,,,,,38.5,,,,,39.2,,,,,39,,,,,38.8,,,,,38.7,,,,,38.7,,,,,38.8,,,,,38.9,,,,,38.9,,,,,38.9
