country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Bahrain,4.34,,,,,4.27,,,,,4.45,,,,,2.56,,,,,3.86,,,,,3.51,,,,,3.49,,,,,3.67,,,,,3.71,,,,,3.86,,,,,3.84,,,,,3.44,,,,,3.55,,,,,4.13,,,,,5.36,,,,,7.16,,,,,9.21,,,,,11.6,,,,,14.3,,,,,15.9,,,,,17.4,,,,,19.6,,,,,23.1,,,,,26.7,,,,,29.7,,,,,32.7,,,,,35,,,,,36.2,,,,,36.7,,,,,37,,,,,37.1
Bangladesh,5.47,,,,,4.69,,,,,4.47,,,,,4.53,,,,,4.61,,,,,4.98,,,,,4.93,,,,,4.77,,,,,5.13,,,,,5.44,,,,,6.03,,,,,6.58,,,,,6.9,,,,,7.06,,,,,7.91,,,,,9.6,,,,,11.7,,,,,13.8,,,,,16.3,,,,,19.2,,,,,22,,,,,24.8,,,,,27.6,,,,,30.2,,,,,32.4,,,,,34.3,,,,,35.9,,,,,37.2,,,,,38.2,,,,,38.8,,,,,39.3
Barbados,7.61,,,,,8.15,,,,,8.99,,,,,10.1,,,,,10.9,,,,,12.4,,,,,12.4,,,,,11.4,,,,,13.5,,,,,13.9,,,,,15.1,,,,,15.5,,,,,17.3,,,,,19.8,,,,,22.9,,,,,25.8,,,,,27.7,,,,,29.4,,,,,30.1,,,,,30.8,,,,,31,,,,,31.2,,,,,31.4,,,,,31.8,,,,,32.2,,,,,32.7,,,,,33.2,,,,,33.6,,,,,34,,,,,34.4,,,,,34.8
Belarus,11.3,,,,,10.8,,,,,10.4,,,,,10.9,,,,,11.7,,,,,12.5,,,,,11.9,,,,,12.5,,,,,16.6,,,,,17.7,,,,,19.2,,,,,18.6,,,,,19.1,,,,,20.4,,,,,22.7,,,,,24.7,,,,,25.7,,,,,26.8,,,,,28,,,,,29.6,,,,,31.4,,,,,31.8,,,,,30.8,,,,,29.9,,,,,29.7,,,,,30.4,,,,,31,,,,,31.4,,,,,31.6,,,,,31.6,,,,,32
Belgium,14.5,,,,,14.9,,,,,15.6,,,,,16.4,,,,,17,,,,,17.1,,,,,15.8,,,,,16.5,,,,,20.6,,,,,21.4,,,,,22,,,,,22.1,,,,,23.2,,,,,24,,,,,25.5,,,,,27.5,,,,,29.2,,,,,30.4,,,,,31.3,,,,,32,,,,,32.4,,,,,32.8,,,,,32.7,,,,,32.7,,,,,33,,,,,33.4,,,,,33.9,,,,,34.3,,,,,34.7,,,,,35,,,,,35.5
Belize,5.61,,,,,5.76,,,,,5.98,,,,,5.9,,,,,5.94,,,,,6.17,,,,,5.48,,,,,5.09,,,,,6.06,,,,,6.24,,,,,5.56,,,,,4.71,,,,,5.69,,,,,5.94,,,,,6.64,,,,,7.75,,,,,8.98,,,,,10.4,,,,,11.7,,,,,13.3,,,,,15.1,,,,,17.2,,,,,19.4,,,,,21.4,,,,,22.8,,,,,24.1,,,,,25.5,,,,,26.9,,,,,28.1,,,,,29.2,,,,,30.1
Benin,10.3,,,,,8.37,,,,,7.59,,,,,7.1,,,,,6.92,,,,,6.54,,,,,6.04,,,,,5.48,,,,,5.53,,,,,5.19,,,,,4.98,,,,,4.97,,,,,4.92,,,,,4.95,,,,,5.08,,,,,5.32,,,,,5.64,,,,,5.99,,,,,6.4,,,,,6.87,,,,,7.44,,,,,8.11,,,,,8.86,,,,,9.65,,,,,10.5,,,,,11.4,,,,,12.3,,,,,13.2,,,,,14.1,,,,,15,,,,,16
Bhutan,4.13,,,,,3.97,,,,,3.87,,,,,3.81,,,,,3.77,,,,,3.8,,,,,3.89,,,,,4.09,,,,,4.63,,,,,5.09,,,,,5.45,,,,,5.7,,,,,6.21,,,,,6.85,,,,,8.02,,,,,9.29,,,,,11.3,,,,,13.3,,,,,16.2,,,,,19.9,,,,,23.7,,,,,26.8,,,,,29.2,,,,,31,,,,,32.6,,,,,33.8,,,,,35,,,,,35.8,,,,,36.4,,,,,36.8,,,,,37
Bolivia,7.85,,,,,7.1,,,,,6.4,,,,,5.94,,,,,5.68,,,,,5.57,,,,,5.52,,,,,5.74,,,,,6.68,,,,,6.97,,,,,7.2,,,,,7.77,,,,,8.35,,,,,9.22,,,,,9.92,,,,,10.6,,,,,11.4,,,,,12.4,,,,,13.8,,,,,15.3,,,,,17,,,,,18.7,,,,,20.6,,,,,22.3,,,,,23.9,,,,,25.4,,,,,26.8,,,,,28.2,,,,,29.5,,,,,30.7,,,,,31.8
Bosnia and Herzegovina,5.56,,,,,5.04,,,,,5.61,,,,,6.42,,,,,7.12,,,,,7.37,,,,,6.99,,,,,7.5,,,,,11,,,,,14.4,,,,,16.8,,,,,17.4,,,,,19.2,,,,,22.4,,,,,24.9,,,,,27.7,,,,,29.3,,,,,31.1,,,,,32.7,,,,,34.4,,,,,36.1,,,,,37.6,,,,,39.2,,,,,39.2,,,,,39.2,,,,,38.9,,,,,38.7,,,,,38.7,,,,,38.7,,,,,38.7,,,,,38.6
