country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Myanmar,,,,,,,,,,,,,92,92,92,92,92,92
Namibia,,,,,,,,,,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4
Nepal,,,,,,79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.8,73.5,71.5,69.5,67.5
Niger,,,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,,,,,,,
Nigeria,,,,,,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,52.8,52.8,52.8,52.8
Pakistan,,,,,,,,,,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2
Paraguay,,,,,,,,,,,,,,,84.5,84.5,84.5,84.5
Philippines,,,,,,,,,,,,,,,85.1,85.1,85.1,85.1
Rwanda,7.27,7.63,7.99,8.36,8.72,9.08,9.44,9.8,10.2,10.5,10.9,11.3,11.6,12,12.3,12.7,13.1,13.4
Sao Tome and Principe,,,,,,,,,,,39,39,39,39,39,39,39,39
Senegal,,,,,,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,41.8,41.8,41.8,41.8
Serbia,,,,,,,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,,,
Sierra Leone,,,,,,,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,23.8,24.9,26,27.1
Solomon Islands,,,,,,,,,,,,,,,58.9,58.9,58.9,58.9
Somalia,,,,,,,,,,,,12,12,12,12,12,12,12
South Africa,,,,,,,,,,,,,,,52.6,52.6,52.6,52.6
St. Lucia,,,,,,,,,87.8,87.8,87.8,87.8,87.8,87.8,87.8,87.8,87.8,
Sudan,,,,,,,,,,,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2
Suriname,,,,,,,74.3,74.3,74.3,74.3,74.3,74.3,74.3,74.3,74.3,,,
Swaziland,,,,,47.8,47.8,47.8,47.8,47.8,47.8,47.8,47.8,47.8,47.8,47.8,47.8,47.8,47.8
Syria,,,,,,,,,,,,,,,72,72,72,72
Tajikistan,,,,,,,,,88.2,88.2,88.2,88.2,88.2,88.2,87.8,87.6,87.4,87.2
Tanzania,,,,,,,,,,,,,63.1,63.1,63.1,63.1,63.1,63.1
Thailand,,,,,,,,,,,,,,,84.7,84.7,84.7,84.7
Timor-Leste,,,,,,,,,,,,,,,42.6,42.6,42.6,42.6
Togo,,,,,,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1
Trinidad and Tobago,,,,,,,,,,,,,,,89.4,89.4,,
Tunisia,,,,,,,,,95.8,95.8,95.8,95.8,95.8,95.8,93.5,92.3,91.2,90
Turkmenistan,82.7,83.8,84.8,85.9,87,88,89.1,90.1,91.2,92.3,93.3,94.4,95.4,96.5,97.6,98.6,99.7,100
Uganda,13.7,13.8,13.9,14,14.1,14.2,14.3,14.4,14.5,14.6,14.7,14.8,14.8,14.9,29.8,31.3,32.8,34.3
Vanuatu,,,,,,,,,,,,,,,48.2,48.2,48.2,48.2
Vietnam,,,,,,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5
Yemen,,,,,,,,,,70.9,70.9,70.9,70.9,70.9,70.9,70.9,70.9,70.9
Zambia,,,,,,,,,,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6
Zimbabwe,,,,,,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,48.5,48.5,48.5,48.5
