country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Nepal,,,,,,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,45.7,44.8,44,43.1
Niger,,,5,5,5,5,5,5,5,5,5,,,,,,,
Nigeria,,,,,,7.46,7.46,7.46,7.46,7.46,7.46,7.46,7.46,7.46,31.3,31.3,31.3,31.3
Pakistan,,,,,,,,,,46.1,46.1,46.1,46.1,46.1,46.1,46.1,46.1,46.1
Paraguay,,,,,,,,,,,,,,,71.9,71.9,71.9,71.9
Peru,,,,,,,,,,,,,,,55.5,55.5,55.5,55.5
Philippines,,,,,,,,,,,,,,,72.6,72.6,72.6,72.6
Rwanda,0.183,0.337,0.491,0.645,0.798,0.952,1.11,1.26,1.41,1.57,1.72,1.88,2.03,2.18,2.34,2.49,2.64,2.8
Sao Tome and Principe,,,,,,,,,,,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3
Senegal,,,,,,9.85,9.85,9.85,9.85,9.85,9.85,9.85,9.85,9.85,8.63,8.63,8.63,8.63
Serbia,,,,,,,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,,,
Sierra Leone,,,,,,,9.14,9.14,9.14,9.14,9.14,9.14,9.14,9.14,11.7,12.4,13.1,13.7
Solomon Islands,,,,,,,,,,,,,,,28.9,28.9,28.9,28.9
Somalia,,,,,,,,,,,,8.1,8.1,8.1,8.1,8.1,8.1,8.1
South Africa,,,,,,,,,,,,,,,27.5,27.5,27.5,27.5
St. Lucia,,,,,,,,,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,
Sudan,,,,,,,,,,,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9
Suriname,,,,,,,55.1,55.1,55.1,55.1,55.1,55.1,55.1,55.1,55.1,,,
Swaziland,,,,,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8
Syria,,,,,,,,,,,,,,,69,69,69,69
Tajikistan,,,,,,,,,66.8,66.8,66.8,66.8,66.8,66.8,67,67.1,67.2,67.4
Tanzania,,,,,,,,,,,,,40.5,40.5,40.5,40.5,40.5,40.5
Thailand,,,,,,,,,,,,,,,83.2,83.2,83.2,83.2
Timor-Leste,,,,,,,,,,,,,,,21.9,21.9,21.9,21.9
Togo,,,,,,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73
Trinidad and Tobago,,,,,,,,,,,,,,,89.5,89.5,,
Tunisia,,,,,,,,,67.1,67.1,67.1,67.1,67.1,67.1,61.8,59.2,56.6,53.9
Turkmenistan,60.6,63,65.4,67.8,70.2,72.6,75,77.4,79.8,82.2,84.6,87.1,89.5,91.9,94.3,96.7,99.1,100
Uganda,4.24,4.39,4.54,4.69,4.84,4.99,5.14,5.29,5.44,5.59,5.74,5.89,6.04,6.19,14.5,15.4,16.4,17.3
Vanuatu,,,,,,,,,,,,,,,17.5,17.5,17.5,17.5
Vietnam,,,,,,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2
Yemen,,,,,,,,,,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5
Zambia,,,,,,,,,,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16
Zimbabwe,,,,,,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,31.2,31.2,31.2,31.2
