country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Namibia,,,,,,,,,,41.7,42,42.4,42.7,43.1,43.5,43.9,44.2,44.6
Nepal,,,,,,56.1,56.2,56.3,56.4,56.4,56.5,56.6,56.7,56.8,50.8,49.8,48.8,47.8
Niger,,,9.01,9.04,9.07,9.1,9.14,9.17,9.21,9.26,9.31,,,,,,,
Nigeria,,,,,,12.1,12.2,12.3,12.4,12.5,12.6,12.8,12.9,13,41.4,41.6,41.8,41.9
Pakistan,,,,,,,,,,59.5,59.7,59.8,60,60.1,59.4,59.5,59.5,59.6
Paraguay,,,,,,,,,,,,,,,79.5,79.5,79.6,79.6
Philippines,,,,,,,,,,,,,,,78.4,78.4,78.4,78.5
Rwanda,1.24,1.49,1.75,2,2.26,2.52,2.79,3.06,3.34,3.63,3.92,4.21,4.51,4.81,4.03,4.23,4.42,4.62
Sao Tome and Principe,,,,,,,,,,,42.2,42.1,42.1,42,41.6,41.5,41.4,41.3
Senegal,,,,,,15.1,15.2,15.2,15.2,15.3,15.3,15.3,15.4,15.4,23.7,23.9,24,24.1
Serbia,,,,,,,97.7,97.7,97.7,97.7,97.7,97.7,97.7,97.7,97.7,,,
Sierra Leone,,,,,,,12.9,13,13,13,13.1,13.1,13.1,13.2,16.6,17.5,18.4,19.3
Solomon Islands,,,,,,,,,,,,,,,35.5,35.6,35.8,35.9
Somalia,,,,,,,,,,,,9.57,9.59,9.61,9.76,9.79,9.81,9.83
South Africa,,,,,,,,,,,,,,,43.6,43.7,43.9,44
St. Lucia,,,,,,,,,87.2,87.2,87.2,87.2,87.2,87.2,87.2,87.2,87.2,
Sudan,,,,,,,,,,,23.3,23.3,23.3,23.3,23.3,23.4,23.4,23.4
Suriname,,,,,,,67.9,67.9,67.9,67.8,67.8,67.8,67.8,67.8,67.8,,,
Swaziland,,,,,23.6,23.6,23.6,23.5,23.5,23.5,23.4,23.4,23.4,23.4,23.9,24,24,24.1
Syria,,,,,,,,,,,,,,,70.5,70.6,70.6,70.6
Tajikistan,,,,,,,,,72.4,72.4,72.5,72.5,72.5,72.5,72.5,72.6,72.6,72.7
Tanzania,,,,,,,,,,,,,47.1,47.3,47.5,47.6,47.8,48
Thailand,,,,,,,,,,,,,,,83.9,83.9,83.9,83.9
Timor-Leste,,,,,,,,,,,,,,,28,28,28.1,28.2
Togo,,,,,,9.5,9.57,9.65,9.73,9.8,9.88,9.96,10,10.1,10.2,10.3,10.4,10.5
Trinidad and Tobago,,,,,,,,,,,,,,,89.4,89.4,,
Tunisia,,,,,,,,,85.9,86,86,86.1,86.1,86.2,83.3,81.7,80.2,78.7
Turkmenistan,70.7,72.6,74.4,76.2,78,79.9,81.7,83.5,85.3,87.1,88.8,90.6,92.4,94.2,95.9,97.7,99.4,100
Uganda,5.39,5.54,5.69,5.85,6.02,6.19,6.36,6.53,6.7,6.87,7.03,7.2,7.37,7.54,17.8,18.9,20.1,21.2
Vanuatu,,,,,,,,,,,,,,,25.1,25.1,25.2,25.2
Vietnam,,,,,,85,85.1,85.2,85.2,85.3,85.3,85.4,85.5,85.5,85.6,85.7,85.8,85.8
Yemen,,,,,,,,,,47.9,48.1,48.3,48.5,48.7,48.9,49.1,49.3,49.5
Zambia,,,,,,,,,,13,13.1,13.2,13.2,13.3,13.6,13.7,13.8,13.9
Zimbabwe,,,,,,31.1,31.1,31,31,31,30.9,30.9,30.8,30.8,36.8,36.8,36.8,36.8
